question,optionA,optionB,optionC,optionD,correct
Welche Farbe hat der Himmel?,Blau,Rot,Grün,Gelb,A
Was ist 2+2?,3,4,5,6,B
In welchem Jahr fiel die Berliner Mauer?,1987,1989,1991,1993,B
Wie viele Kontinente gibt es?,5,6,7,8,C
Was ist die Hauptstadt von Frankreich?,London,Berlin,Paris,Madrid,C
Welcher Planet ist der Erde am nächsten?,Mars,Venus,Jupiter,Saturn,B
Wie viele Beine hat eine Spinne?,6,8,10,12,B
Was ist das chemische Symbol für Gold?,Go,Au,Gd,Ag,B
Wer hat die Relativitätstheorie entwickelt?,Newton,Einstein,Galilei,Hawking,B
Wie viele Tasten hat ein Klavier?,76,82,88,94,C
